'Participant','Base Color','Trial','U','V','Direction','Frequency','Ratio','ThresholdUV','ThresholdLMS','U1','V1','L1','U2','V2','L2','R1','G1','B1','R2','G2','B2','L1','M1','S1','L2','M2','S2','ThresholdLMS_Corrected','U1_Corrected','V1_Corrected','L1_Corrected','U2_Corrected','V2_Corrected','L2_Corrected','R1_Corrected','G1_Corrected','B1_Corrected','R2_Corrected','G2_Corrected','B2_Corrected','L1_Corrected','M1_Corrected','S1_Corrected','L2_Corrected','M2_Corrected','S2_Corrected'
'kon',1,0,0.127304,0.52131,45,15,0.994905215,0.0171252145,0.0046956857,0.1333586776,0.5273646776,37.5957711851,0.1212493224,0.5152553224,37.4042288149,0.0427142857,0.3358809524,0.0072380952,0.0297142857,0.3450714286,0.0115952381,0.053683451,0.055902284,0.0089229928,0.0529975713,0.0576513017,0.0132264763,0.0058615332,0.1360059166,0.5228626599,42.4741795135,0.1238161406,0.5094349473,42.2219836857,0.0502857143,0.3779285714,0.0103571429,0.0351190476,0.3883809524,0.0158571429,0.0610261597,0.0633495117,0.0122046696,0.0602309277,0.0654175644,0.0176313016
'kon',1,1,0.127304,0.52131,45,15,0.9941157523,0.0197866979,0.0054380935,0.1342996541,0.5283056541,37.6106552051,0.1203083459,0.5143143459,37.3893447949,0.0437142857,0.3351904762,0.0069047619,0.0286904762,0.3458095238,0.011952381,0.0537386121,0.0557706654,0.0085938358,0.0529468685,0.057793673,0.0135791586,0.0067521663,0.136962022,0.5239041969,42.4945817738,0.122853122,0.5084423312,42.2014923852,0.051452381,0.3771428571,0.0099285714,0.0339047619,0.3892142857,0.0162619048,0.061089253,0.0631924062,0.011781964,0.0601632594,0.0655765785,0.0180309645
'kon',1,0,0.127304,0.52131,45,20,0.9900844663,0.0334102451,0.0091831768,0.1391163054,0.5331223054,37.6868425792,0.1154916946,0.5094976946,37.3131574208,0.0487380952,0.3316666667,0.0052142857,0.0233571429,0.3495952381,0.0137380952,0.0540067531,0.0550980462,0.0069243962,0.0526673556,0.0585133284,0.0153429826,0.0114223162,0.141829966,0.5292199419,42.5932177964,0.1180109465,0.5031007814,42.1003804077,0.0573095238,0.3731190476,0.0078095238,0.0276904762,0.393547619,0.0185238095,0.0613985689,0.0623966133,0.0096912083,0.0598450761,0.0664333667,0.0202628964
'kon',1,1,0.127304,0.52131,45,20,0.9867346903,0.0447729238,0.0122915333,0.143133619,0.537139619,37.7503852769,0.111474381,0.505480381,37.2496147231,0.0528809524,0.3287619048,0.0038333333,0.0188571429,0.3528333333,0.0152380952,0.0542293235,0.0545457617,0.0055605055,0.052436764,0.0591263645,0.0168249008,0.0153281177,0.1458939756,0.5337443911,42.6776950677,0.1139911555,0.4986427057,42.0178012836,0.0621666667,0.3698333333,0.006047619,0.022452381,0.3971904762,0.0204285714,0.0616614955,0.0617440021,0.0079531466,0.0595753804,0.067153709,0.0221423815
'kon',1,0,0.127304,0.52131,45,25,0.9822634336,0.06,0.0164741219,0.1485172034,0.5425232034,37.8355362497,0.1060907966,0.5000967966,37.1644637503,0.0583571429,0.324952381,0.002,0.0127619048,0.3572142857,0.0172857143,0.0545267926,0.053819162,0.0037500658,0.0521253229,0.0599585997,0.0188476463,0.0205341584,0.1513512092,0.5397329585,42.7865311062,0.1085891747,0.4927415607,41.9029683237,0.068547619,0.3654761905,0.0037380952,0.0153095238,0.4021904762,0.023,0.0620019487,0.06088108,0.0056746106,0.0592094111,0.0681367572,0.0246800978
'kon',1,1,0.127304,0.52131,45,25,0.98138491,0.06,0.0164611579,0.1485172034,0.5425232034,37.8523120985,0.1060907966,0.5000967966,37.1476879015,0.0583809524,0.3250952381,0.002,0.0127380952,0.357047619,0.0172857143,0.0545503424,0.0538426111,0.0037508539,0.0520985671,0.0599313775,0.0188467289,0.0205183366,0.1513431474,0.5397443718,42.804885321,0.1086036166,0.4927108498,41.8847468022,0.0685714286,0.3656428571,0.0037380952,0.0153095238,0.4019761905,0.023,0.0620287045,0.0609083022,0.0056755281,0.0591805568,0.0681027991,0.0246789332
'kon',1,0,0.127304,0.52131,90,2,0.9988092953,0.0034228601,0.0010772294,0.127304,0.5230214301,37.5223390134,0.127304,0.5195985699,37.4776609866,0.0365952381,0.340547619,0.0088571429,0.035952381,0.3403095238,0.009952381,0.0533636928,0.0567066838,0.0105282726,0.0533237138,0.0568318447,0.0115974591,0.0013819711,0.1298853085,0.5180482469,42.371612248,0.1299213127,0.5143044337,42.3222905708,0.0431428571,0.3832380952,0.0123571429,0.0424047619,0.382952381,0.0137619048,0.0606452344,0.0642852071,0.0141853922,0.0606122657,0.0644517986,0.0155568893
'kon',1,1,0.127304,0.52131,90,2,0.9989219985,0.003098703,0.0009835861,0.127304,0.5228593515,37.5202234295,0.127304,0.5197606485,37.4797765705,0.036547619,0.3405238095,0.0089047619,0.0359761905,0.3403095238,0.0099047619,0.0533565791,0.0567093235,0.0105746762,0.0533233079,0.0568246215,0.0115509144,0.0012648496,0.1298775661,0.5178517761,42.3696327112,0.1299165271,0.5144366949,42.3251490377,0.0430952381,0.3832380952,0.0124285714,0.0424285714,0.3829761905,0.0137142857,0.0606436864,0.0642956367,0.0142552034,0.0606150658,0.0644483485,0.0155104741
'kon',1,0,0.127304,0.52131,90,4,0.9981534326,0.0053099795,0.0016863422,0.127304,0.5239649897,37.5346551361,0.127304,0.5186550103,37.4653448639,0.0367619048,0.3405952381,0.008547619,0.0357857143,0.3402380952,0.0102619048,0.0533696233,0.0566676844,0.010225997,0.0533145773,0.056867071,0.0118996053,0.0021077438,0.1298699381,0.5190434306,42.3861628574,0.1299239932,0.51326276,42.3086169453,0.0433333333,0.3833333333,0.012,0.0421904762,0.3828809524,0.0141428571,0.060657171,0.0642465307,0.0138368307,0.0606015812,0.0644974545,0.0159288467
'kon',1,1,0.127304,0.52131,90,4,0.9985556397,0.0041525584,0.0013114948,0.127304,0.5233862792,37.5271013276,0.127304,0.5192337208,37.4728986724,0.0366666667,0.3405714286,0.0087380952,0.0358809524,0.3402857143,0.0100714286,0.0533680409,0.0566928041,0.0104120462,0.0533193657,0.0568457244,0.0117136855,0.0016862934,0.1298737562,0.5184470303,42.3778978438,0.1299202643,0.5138491667,42.3168830579,0.0432142857,0.3832857143,0.0122142857,0.0423095238,0.3829285714,0.0139285714,0.0606504287,0.0642710837,0.014046017,0.0606083235,0.0644729015,0.0157196604
