'Participant','Base Color','Trial','U','V','Direction','Frequency','Ratio','ThresholdUV','ThresholdLMS','U1','V1','L1','U2','V2','L2','R1','G1','B1','R2','G2','B2','L1','M1','S1','L2','M2','S2','ThresholdLMS_Corrected','U1_Corrected','V1_Corrected','L1_Corrected','U2_Corrected','V2_Corrected','L2_Corrected','R1_Corrected','G1_Corrected','B1_Corrected','R2_Corrected','G2_Corrected','B2_Corrected','L1_Corrected','M1_Corrected','S1_Corrected','L2_Corrected','M2_Corrected','S2_Corrected'
'mij',1,1,0.127304,0.52131,45,10,1.000328743,0.002642628,0.000763386,0.12823831,0.52224431,37.49383708,0.12636969,0.52037569,37.50616292,0.037261905,0.33952381,0.009047619,0.035285714,0.341333333,0.009738095,0.053365494,0.056599266,0.01070926,0.053319553,0.056935246,0.011393193,0.000956567,0.130850921,0.517198987,42.34527211,0.128968489,0.515084595,42.35174019,0.043928571,0.382095238,0.012642857,0.041619048,0.384119048,0.01352381,0.060662012,0.064179043,0.014458904,0.060603413,0.06456977,0.015330063
'mij',1,0,0.127304,0.52131,45,15,1.000528697,0.00424929,0.001213043,0.128806351,0.522812351,37.49008956,0.125801649,0.519807649,37.50991044,0.037857143,0.33897619,0.008857143,0.034690476,0.341880952,0.009952381,0.053380718,0.05650061,0.01052035,0.053306689,0.057037919,0.011605381,0.001506281,0.131427288,0.517783076,42.34261741,0.128398276,0.514506867,42.35435998,0.044619048,0.381452381,0.012380952,0.040928571,0.384738095,0.013761905,0.060674587,0.064056485,0.014199688,0.060585272,0.064684537,0.015565871
'mij',1,1,0.127304,0.52131,45,15,1.000858636,0.006900384,0.001998908,0.129743654,0.523749654,37.48390749,0.124864346,0.518870346,37.51609251,0.038833333,0.338071429,0.0085,0.033690476,0.342785714,0.010309524,0.053400351,0.056330206,0.010166739,0.053282742,0.057207512,0.011958981,0.002467431,0.132368028,0.518848167,42.33706635,0.127450763,0.513463143,42.35985348,0.045761905,0.380428571,0.011952381,0.039785714,0.385809524,0.014214286,0.060701307,0.063860838,0.013775677,0.060567325,0.064891747,0.01601342
'mij',1,0,0.127304,0.52131,45,20,1.001034226,0.008310024,0.002396442,0.130242037,0.524248037,37.48061829,0.124365963,0.518371963,37.51938171,0.039333333,0.337595238,0.008333333,0.033166667,0.343285714,0.0105,0.053410298,0.056243644,0.010001449,0.053274047,0.057301053,0.012147667,0.002983192,0.132862623,0.519381127,42.33538857,0.126955967,0.51288136,42.36234286,0.046357143,0.379904762,0.011714286,0.039166667,0.386357143,0.014452381,0.060715017,0.063757922,0.01354034,0.060552507,0.064997627,0.016248874
'mij',1,1,0.127304,0.52131,45,20,1.001195862,0.009608587,0.002763766,0.130701149,0.524707149,37.477591,0.123906851,0.517912851,37.522409,0.039809524,0.337166667,0.008166667,0.032666667,0.343714286,0.010666667,0.053422344,0.056163819,0.009836406,0.053257687,0.057380069,0.012312699,0.003449417,0.133334083,0.519917931,42.33374462,0.126498176,0.512359611,42.36391326,0.046928571,0.379404762,0.0115,0.038595238,0.386857143,0.014666667,0.06072998,0.063661985,0.013328399,0.060537544,0.065093564,0.016460815
'mij',1,0,0.127304,0.52131,45,25,1.001741489,0.013988727,0.004027671,0.132249762,0.526255762,37.46737549,0.122358238,0.516364238,37.53262451,0.041428571,0.335690476,0.007595238,0.03102381,0.345238095,0.011238095,0.053460263,0.05588859,0.0092705,0.053221867,0.057662034,0.012878851,0.005008134,0.134881797,0.521649304,42.32456416,0.124919615,0.510697038,42.36833823,0.048761905,0.377714286,0.010785714,0.036642857,0.388571429,0.015380952,0.060763709,0.06333599,0.012621765,0.060485453,0.065419279,0.01716752
'mij',1,1,0.127304,0.52131,45,25,1.001875247,0.015062672,0.004342996,0.132629459,0.526635459,37.46487206,0.121978541,0.515984541,37.53512794,0.041809524,0.335333333,0.007452381,0.030619048,0.345619048,0.011380952,0.053467032,0.055820858,0.009129077,0.05321399,0.057732727,0.013020392,0.005396657,0.135282132,0.522068656,42.32474237,0.124546334,0.510235888,42.37119058,0.049238095,0.377309524,0.010619048,0.036166667,0.389,0.015571429,0.060778961,0.063259938,0.012456852,0.060475767,0.065503121,0.017355842
'mij',1,0,0.127304,0.52131,90,2,0.999879932,0.000536038,0.000187712,0.127304,0.521578019,37.50225141,0.127304,0.521041981,37.49774859,0.036333333,0.340428571,0.009309524,0.036214286,0.340404762,0.0095,0.053345048,0.056755223,0.010969782,0.053339152,0.056779532,0.01115582,0.000211253,0.129901486,0.516466459,42.35108479,0.129902341,0.515877888,42.34510827,0.042833333,0.383119048,0.012952381,0.042714286,0.383095238,0.013166667,0.060632121,0.064356226,0.014766548,0.060628585,0.064384552,0.014975863
'mij',1,1,0.127304,0.52131,90,2,0.999797658,0.000903382,0.00028185,0.127304,0.521761691,37.50379429,0.127304,0.520858309,37.49620571,0.036357143,0.340428571,0.009261905,0.036190476,0.340404762,0.009547619,0.053344642,0.056748,0.010923238,0.053339558,0.056786756,0.011202365,0.000352521,0.129888076,0.516661854,42.35081307,0.12989462,0.515682848,42.34312867,0.042857143,0.383119048,0.012880952,0.042666667,0.383095238,0.013238095,0.060629356,0.064344986,0.014696725,0.060627037,0.064394982,0.015045674
'mij',1,0,0.127304,0.52131,90,4,0.999767695,0.001037175,0.000329027,0.127304,0.521828587,37.50435622,0.127304,0.520791413,37.49564378,0.036357143,0.340428571,0.009238095,0.036190476,0.340404762,0.009571429,0.053342283,0.056743983,0.01089996,0.053341918,0.056790772,0.011225643,0.000423226,0.129897702,0.516727129,42.35222336,0.129917611,0.515553197,42.34481063,0.042880952,0.383119048,0.012857143,0.042666667,0.383095238,0.013285714,0.060631309,0.06434178,0.014673458,0.060631756,0.064403016,0.015092231
